t_valid,Za_v,Za_a,Ra,Xa,Zb_v,Zb_a,Rb,Xb,Zc_v,Zc_a,Rc,Xc
0.547,596.415204382147,-155.367654753025,-542.141993782847,-248.582289383934,523.451337073634,-152.042441177458,-462.362004346786,-245.40309537697,597.7314423821,-146.472358801158,-498.280558707816,-330.150514199224
0.548,564.052833289115,-155.95875559656,-515.122621407256,-229.791826782405,529.355255141088,-148.171414519443,-449.755937784168,-279.171242382467,623.525032392956,-149.851904338623,-539.180884708468,-313.157212252297
0.549,535.720904716071,-154.475022741371,-483.433217737565,-230.844561854313,563.550319245111,-145.807209002843,-466.141373277413,-316.703619240945,616.76929141507,-153.531558072512,-552.119526978556,-274.897047568038
0.55,522.18992834895,-151.19227647133,-457.564606833115,-251.628599015968,606.260229480709,-147.035803820701,-508.658847493846,-329.875192635388,589.462130416642,-155.693072485183,-537.208384290226,-242.637085054225
0.551,534.588207785832,-147.402958833516,-450.379990238899,-287.997250500898,624.862873123004,-150.719887651008,-545.029821944097,-305.60776069845,557.098657774945,-155.819419094891,-508.218263230988,-228.19533608977
0.552,573.412897709157,-145.747378448008,-473.962456824446,-322.741290788997,612.035991312893,-154.16542531699,-550.866648292897,-266.709561997513,531.092578751999,-153.892113320736,-476.903615122541,-233.714075503594
0.553,613.159036415207,-147.741508790396,-518.517161032021,-327.267410007349,582.361899562051,-155.895562214438,-531.581425591961,-237.837276361673,522.449116668544,-150.331292001357,-453.957071328653,-258.604054296243
0.554,624.195058378113,-151.589417335088,-549.017448073346,-296.983690822722,550.449742604283,-155.559072014426,-501.12302543149,-227.751251402734,541.467191919827,-146.768309906881,-452.916367613649,-296.73807284068
0.555,606.130339963425,-154.726666668045,-548.112363992524,-258.77949196701,527.269734666153,-153.204409735077,-470.65178332813,-237.69785851994,583.542429274799,-145.909242294596,-483.261106102395,-327.078690979133
0.556,574.913935555191,-156.005746603327,-525.23346506144,-233.78588596216,524.079780841287,-149.442910119527,-451.297162727218,-266.440401592954,618.651911560445,-148.557435467515,-527.811235276847,-322.715800036072
0.557,544.08055275088,-155.206218897561,-493.928839974321,-228.162111059931,549.576962567606,-146.252914037392,-456.972072279834,-305.30536015817,622.227423204051,-152.423939114083,-551.540567624408,-288.045080589304
0.558,524.326175302642,-152.450745405585,-464.87469743238,-242.506605672196,593.278687908113,-146.233929781869,-493.200733361807,-329.746323917868,599.819539382038,-155.196896211544,-544.489038970785,-251.625050949127
0.559,527.058652487898,-148.585387973253,-449.801287058624,-274.717355335923,622.453626640327,-149.403087601159,-535.789070452598,-316.825802770603,567.686263076697,-156.017656417896,-518.678336756302,-230.738978644054
0.56,558.501845829763,-145.90731700707,-462.513208567667,-313.058850211417,619.007396915324,-153.170269999547,-552.372330235737,-279.383188874755,538.379535597344,-154.760144557445,-486.980795480746,-229.569660850363
0.561,601.990121496324,-146.724519129547,-503.289165661618,-330.290965826787,593.12135222652,-155.543452813119,-539.903841567014,-245.554027310074,522.611409299422,-151.641110515222,-459.892612007277,-248.2367228092
0.562,624.272714151011,-150.273190102189,-542.118165173335,-309.555030039193,560.672715019834,-155.902487692074,-511.811156231278,-228.917526032662,531.714811464497,-147.794403323528,-449.90576104508,-283.382157005646
0.563,614.380685584518,-153.848694453718,-551.488545017309,-270.784068094844,533.409011076134,-154.195106797395,-480.218317037407,-232.197202995598,568.350894489329,-145.77250866336,-469.918648326698,-319.686101076711
0.564,585.770625097341,-155.799376442239,-534.290557314344,-240.126686546202,522.217926938445,-150.763369461336,-455.69258457111,-255.060446919527,609.764634439511,-147.394666889579,-513.667096602667,-328.571184495747
0.565,553.562449247597,-155.694788351494,-504.497907294869,-227.844786537012,537.908687532117,-147.066668648208,-451.468770630707,-292.440943213707,624.583373469865,-151.174500863654,-547.192616588492,-301.138889494594
0.566,528.927944181996,-153.551354025089,-473.567133765691,-235.58212995374,578.549477691544,-145.79885719335,-478.500547944676,-325.202588787057,609.06896145076,-154.468062234554,-549.590434954917,-262.517339634494
0.567,522.968953253411,-149.879990401912,-452.355710208822,-262.432538966571,616.178839236955,-148.133882622234,-523.310852846897,-325.303109754664,578.592723429747,-155.970991685302,-528.451538746124,-235.602442268126
0.568,545.257044724961,-146.483694585273,-454.596455964929,-301.076912177477,623.467200440649,-152.006253914145,-550.520809202156,-292.640032566811,547.180161632537,-155.402217315692,-497.524775723695,-227.761337424279
0.569,588.347893736068,-146.035901958169,-487.968567677217,-328.694266793191,603.136384153366,-154.966291854699,-546.477146812686,-255.21799682049,525.631496788219,-152.843223022147,-467.686378650891,-239.912320734551
